"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"gene 593","gene 593",0.97979797979798,0.00445103562468561,0.248058091456232,1.36145028129192e-05
"gene 828","gene 828",0.783488370564373,0.547674716092105,0.199569084832044,0.000416170526986064
"gene 909","gene 909",0.887325028189948,0.137503523749935,0.192671421540472,0.000640119975783354
"gene 618","gene 618",0.859518553251808,0.190795222358842,0.179831299602295,0.00137530516425811
"gene 342","gene 342",0.900057034488397,0.00445103562468561,0.168317146146649,0.00262238086332517
"gene 951","gene 951",0.845861254199603,0.190795222358842,0.16617400055009,0.00294473895960308
"gene 612","gene 612",0.616865269517518,1.40275930467599,0.164231195507602,0.00326737433687834
"gene 765","gene 765",0.875013518722999,0.0762067710757798,0.16313460382648,0.00346320369361062
"gene 891","gene 891",0.639767775010777,1.12617027947986,0.15912949944322,0.00427112698387221
"gene 350","gene 350",0.692245622324309,0.748275385267589,0.157269848838624,0.00470059145488511
"gene 892","gene 892",0.755687308327862,0.486487843800437,0.156029680961392,0.00500800422282751
"gene 652","gene 652",0.850340868516124,0.137503523749935,0.155687261866648,0.00509597914604802
"gene 346","gene 346",0.720852958900193,0.614817025105513,0.155129253488974,0.00524229406179752
"gene 518","gene 518",0.765040032249384,0.438582963928918,0.152593072757553,0.00595545411432817
"gene 693","gene 693",0.788052624753904,0.35173150643757,0.152044730121134,0.00612050933887742
"gene 176","gene 176",0.606742933172466,1.34800812294571,0.148699864151834,0.00721792463788417
"gene 577","gene 577",0.784557771301389,0.35173150643757,0.148549876668619,0.00727096391976853
"gene 360","gene 360",0.858004794027884,0.0762067710757798,0.146125879131365,0.00817707565139065
"gene 270","gene 270",0.83972587429349,0.137503523749935,0.145072267644013,0.00860091287518736
"gene 563","gene 563",0.641996179228706,0.981897404186249,0.145012247435318,0.00862562716364019
"gene 942","gene 942",0.596389602900596,1.41007360149843,0.144464028918621,0.00885426299135784
"gene 108","gene 108",0.854210160164564,0.0762067710757798,0.142331245268045,0.00979502970544725
"gene 825","gene 825",0.456479856817038,0.565803078301991,-0.122605429715384,0.00989678826205208
"gene 981","gene 981",0.796700640609077,0.279701100957027,0.141501968603506,0.010183745444002
"gene 923","gene 923",0.872590145971156,0.00445103562468561,0.140850257629408,0.010498605866878
"gene 731","gene 731",0.361082256136308,1.10896253554671,-0.12122094632177,0.0105591319742644
"gene 526","gene 526",0.746185141260495,0.463364653773145,0.140400262322839,0.0107209318856675
"gene 281","gene 281",0.516959055617962,0.35173150643757,-0.119048839014808,0.0116761162806243
"gene 606","gene 606",0.628245956114899,1.02106670623109,0.135864443316668,0.0132006707314327
"gene 149","gene 149",0.77168140119758,0.35173150643757,0.13567350656481,0.0133151252900643
"gene 508","gene 508",0.427517163372768,0.706180344171974,-0.115968657883891,0.0134352398120272
"gene 661","gene 661",0.867055504341725,0.00445103562468561,0.135315615999977,0.0135319684236192
"gene 670","gene 670",0.800844892951414,0.237785484795579,0.134210866488242,0.0142206607697119
"gene 660","gene 660",0.844819962659292,0.0762067710757798,0.132941047762773,0.0150493568564383
"gene 527","gene 527",0.419910936442835,0.767281887591477,-0.111409267366992,0.0164572860167501
"gene 304","gene 304",0.396096666663952,0.909313250101302,-0.111086236673807,0.0166919087276737
"gene 944","gene 944",0.822892901559076,0.137503523749935,0.1282392949096,0.0184887618715434
"gene 189","gene 189",0.839779287881281,0.0762067710757798,0.127900372984762,0.0187606916963801
"gene 541","gene 541",0.857624781715662,0.00445103562468561,0.125884893373915,0.0204490448903972
"gene 539","gene 539",0.687512734872369,0.629620565493792,0.125761243589919,0.0205566895942983
"gene 120","gene 120",0.468214780924199,0.582979846143503,-0.106199788157565,0.0206051329068111
"gene 512","gene 512",0.856303329503405,0.00445103562468561,0.124563441161658,0.0216245228172548
"gene 485","gene 485",0.790845373112324,0.237785484795579,0.124211346649152,0.0219471887987607
"gene 473","gene 473",0.425849934991992,0.776343103253079,-0.103766357175462,0.0228276421882069
"gene 949","gene 949",0.85469388566279,0.00445103562468561,0.122953997321043,0.0231328173159417
"gene 564","gene 564",0.372345195913977,1.17909879192618,-0.103398227140791,0.0231808484974682
"gene 987","gene 987",0.591688878012043,0.137503523749935,-0.102964728637433,0.0236026612897163
"gene  99","gene  99",0.714999898218348,0.508143934037917,0.120973643462011,0.0251093385338068
"gene 387","gene 387",0.800020497634881,0.190795222358842,0.120333243985369,0.0257780361114376
"gene 668","gene 668",0.579948487627452,1.33149914763862,0.120235144052964,0.0258817756529523
"gene 292","gene 292",0.427296648465977,0.785131421241046,-0.100690346789123,0.0259229120390677
"gene 889","gene 889",0.404127035899305,0.930684339245868,-0.0998496283978664,0.0268275632993723
"gene 762","gene 762",0.605376804566508,1.06738759628786,0.118496227798015,0.0277793980755653
"gene 491","gene 491",0.378444279244936,1.16543913989932,-0.0985743664929727,0.0282500146638569
"gene 926","gene 926",0.797738421736836,0.190795222358842,0.118051168087323,0.0282832910611981
"gene 517","gene 517",0.783304298161921,0.237785484795579,0.11667027169875,0.02989537132614
"gene 536","gene 536",0.628438648368487,0.873729554910392,0.115689834800557,0.0310856247988471
"gene 267","gene 267",0.558969244447463,1.48800486455045,0.114423470911261,0.0326807542360809
"gene 666","gene 666",0.40985777136419,0.925498602148638,-0.0948878702771625,0.0327188472802117
"gene 932","gene 932",0.551048463401636,0.317452308288252,-0.0940871443131024,0.0337628512976463
"gene 349","gene 349",0.390367990228158,1.09043598937032,-0.0938546160765149,0.0340711115102224
"gene 118","gene 118",0.400028970128033,1.01369671121664,-0.0932001113503417,0.0349512250766255
"gene 502","gene 502",0.507685154154722,0.486487843800437,-0.0919724732117484,0.0366523397136947
"gene 171","gene 171",0.502341427746315,0.508143934037917,-0.0916848270100227,0.0370605674912824
"gene 516","gene 516",0.492934524628407,0.547674716092105,-0.090984761103922,0.038069644630448
"gene 374","gene 374",0.581515517488048,1.22218390204023,0.110191503455076,0.0385077626135054
"gene 459","gene 459",0.434423966391817,0.80194720476545,-0.0905077134050553,0.0387700178260383
"gene 592","gene 592",0.45352048356672,0.706180344171974,-0.0899653376899386,0.0395790145374878
"gene 289","gene 289",0.709098630386538,0.486487843800437,0.109441003020068,0.0396246458497852
"gene 921","gene 921",0.430207314670784,0.832882916999337,-0.0893086437027241,0.0405768443281341
"gene 390","gene 390",0.578026230357034,0.237785484795579,-0.0886077961061378,0.0416641906036956
