M01,M02,M03,M04,M05,M06,M07,M08,M09,M010,M011,M012,M013,M014,M015,M016,M017,M018,M019,M020,M021,M022,M023,M024,M025,M026,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M042,M043,M044,M045,M046,M047,M048,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M061,M062,M063,M064,M065,M066,M067,M068,M069,M070,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083,M084,M085,M086,M087,M088,M089,M090,M091,M092,M093,M094,M095,M096,M097,M098,M099,M0100
gene   1,0,0,16.0483375746549,18.2610439313741,0,19.0617622753831,0,21.3012473624536,0,19.1632642977098,20.1019295059303,19.8103101305808,19.9740704453586,0,15.7987780798042,0,23.4375804234176,20.1142429326476,0,0,0,17.5278442882634,0,22.9355260064638,14.7974322648591,16.472115217577,18.4246822924339,21.2321420760895,21.1854014780566,14.7107881176328,15.3260700081522,0,0,0,14.8325511901797,20.7578485048401,0,17.784584833193,14.9546546002426,17.6847492191333,18.1150907421818,20.6732767988373,14.4770194645105,0,0,21.6646547520182,20.9849870712688,0,12.1893800604434,0,0,0,0,21.0590177079593,0,21.3153964393107,0,21.5778822605323,0,0,17.9978063561315,26.4008760491691,21.9845477823732,19.1946589895753,0,0,21.8420515827815,26.1475219237098,22.8499996914285,16.7621685277247,25.7252208220836,0,0,20.7915820182121,4.67042907725389,0,0,0,21.0231108760701,20.0746284015043,0,0,17.2863229220944,16.2075297654003,0,0,15.3751606226659,11.3550922501542,0,0,0,0,20.6572664673647,12.9232832877294,15.1111631225735,0,20.1551324284608,0,0,4.76684417313116
gene   2,18.6922757370063,0,14.2127588067699,0,18.0645159538254,0,0,0,0,5.34545739149432,19.2827731903832,19.1994727677765,0,0,7.89938903990212,16.3919206298248,0,12.0304092455395,0,0,9.61594304757938,15.4986145097968,9.41642035912836,0,0,0,0,12.9202513232584,18.1481496595275,11.3857974094223,9.66967357346237,0,0,15.6527409363815,0,14.5462411238864,0,19.6930373377639,0,17.9928245619355,0,11.1065851070931,15.1712162488094,8.48322991273985,15.704287266009,0,18.0411858013262,0,10.9490423995347,7.67095667614821,8.84756150879942,16.7333335450094,0,12.7308285614688,0,5.94577947050294,12.2716903630151,0,4.33088025747296,0,16.9465317005704,0,0,0,14.3321500015591,18.048869596754,0,0,0,15.8636262877808,0,0,0,0,0,14.2159261316755,19.5635392506943,0,0,8.35686030949304,0,22.0805892413937,15.3065079820474,0,0,0,14.7640374680852,0,0,14.0271584960015,9.35379001774811,19.2586267091952,5.42562143279274,0,0,0,18.246735312181,0,16.8157228702085,20.2492085153421
gene   3,48.0938281950144,0,50.1858543453335,0,0,47.4013906948014,46.9761983382142,0,0,0,45.9572587442978,43.3641265990238,46.2804438028361,43.3976044613568,0,45.8728800388269,0,0,46.1351591965633,47.1475065256547,55.4184236078703,46.4861609974066,55.2066099777589,51.6834411306474,0,0,40.9941744132176,47.2084084494386,0,47.464260277556,0,0,43.283576652862,40.9240064821018,46.5322395022093,0,46.6898464805724,0,0,43.7248389850907,44.3787189455162,47.3230827796017,0,50.3847693548371,0,42.8749427720914,48.6314842135798,46.2693283728642,45.6102819931284,46.3987208789914,49.0920985676892,50.5968988124317,44.6954876915219,46.7257150883731,0,0,0,46.0947613729773,0,0,46.2453621873992,56.2832158622852,48.9785459376115,47.131316249794,49.7322817957079,0,47.3097248886584,45.928460048806,47.9740898175839,0,46.9036415454477,45.4133523283398,0,50.6613361932923,0,0,50.3271807229912,48.1346840559422,55.1764094077317,0,46.631363886706,0,0,0,0,49.3459900308056,43.9361682387788,46.9106837561669,44.2511699261407,46.5769445710898,44.5131404574765,0,50.7106452325551,0,46.2671495844282,50.7181885572491,0,48.7512907885581,49.8240831624145,46.0731501981896
gene   4,0,0,0,0,0,0,0,0,0,0,0,8.88467940523519,4.62156472917422,6.9408998776213,4.98395958031051,0,4.34647640074196,0,0,14.33899538216,0,0,0,0,0,11.0558818101396,0,7.92201582868006,0,0,0,0,0,0,0,4.58882816384233,4.81835461867832,0,4.50179960946735,0,0,0,9.13398232319281,5.35232215833497,14.9856984896724,0,0,13.415918511145,0,0,0,0,9.64882392178211,9.06962526287052,0,0,0,0,0,8.3904445830267,0,0,0,13.0320063975983,0,0,4.97278531590352,0,0,5.28787542926028,0,0,0,0,4.67042907725389,0,0,16.9110973717111,12.1540837881058,0,0,0,0,0,0,0,0,0,0,0,7.41270320887531,4.81465667729883,0,4.99940841854536,4.76704121255168,5.33660758892924,0,0,0,7.55526926119404
gene   5,21.5641593893397,0,0,0,16.7390936601101,0,21.5616919937378,0,0,24.823535394668,23.1747836519274,21.3559036348306,0,0,13.9917434591209,0,21.7323820037099,0,15.7135523016103,22.196077486865,21.7499122023122,22.705059864667,11.8821995534202,23.3645573780007,0,18.6026952192458,18.4246822924339,0,0,19.6143841568437,16.7257872509685,0,19.6855523586425,21.211021865724,0,10.6549290362359,19.6948454598145,19.6930373377639,0,19.5686243166594,0,23.6976343409238,0,23.1323515089961,21.0817914120378,19.9444251755427,0,17.4715086208809,17.9535665051283,19.359339221358,18.5436331357694,15.8363370149727,17.8524456367563,15.6878742017829,22.8407245040737,17.8373384115089,19.1999803676094,0,24.9237286670977,0,0,17.0613186433224,0,0,25.526074186328,26.4665694930654,0,20.2201014604314,0,0,18.2816790268302,0,0,0,20.5140070078748,0,0,0,20.1874962016619,0,17.3785940435752,0,20.2865016139042,0,0,23.5329375931139,21.365895396977,23.7573344629545,19.0508933022981,0,0,0,21.7024857311709,0,20.602809346013,25.0844022711362,18.246735312181,0,0,24.045840714841
gene   6,38.3933057124083,41.9686533127789,40.4153964793185,0,39.2430018452535,0,35.724393106194,0,40.5738531085606,39.8301315133287,37.8207013049422,35.1517424607538,37.7113735646547,34.7820203525518,33.8630940497094,38.4947489677596,0,0,0,0,46.3751576149702,37.8170722318519,41.9803409116425,39.5998182811195,0,36.5323232725137,32.8535636563186,0,41.6565674544904,0,35.2237306538882,37.8701822131796,35.3719123242813,35.1474231310118,36.2895669653423,0,37.4616811378698,42.0158613841067,0,0,37.3744457934261,37.935459498334,35.1041799712519,0,37.951616745914,37.1236179502527,39.0597078387503,39.7502183645698,37.6706098455755,36.3364858109751,41.1688699063692,0,0,0,0,42.5710160056594,35.8856904629545,38.3545740603383,0,0,0,0,0,0,37.5618836599294,0,0,38.8195328651787,38.1118050918468,39.9070377816604,0,39.4955591810821,40.894221946099,0,37.4937655958409,0,0,39.612938041089,46.0023296637587,42.0306953010533,0,0,0,37.3527332863206,0,0,0,36.2760585868417,35.7879808984033,37.9861124272573,39.1488261537416,0,40.3825937541422,0,35.0737536295067,40.4779684430923,0,36.5442019357543,40.8490611670907,37.7195104250395
gene   7,0,12.9389535960178,0,0,0,0,0,0,0,0,11.193303204523,0,0,0,0,18.5121278904916,18.1244806116329,14.7528233134443,16.9577709526862,14.33899538216,14.0871019414355,19.5570740667301,13.7948064860723,0,19.0805632628565,13.367246076967,18.1634763879404,15.8440316573601,18.1481496595275,0,0,0,0,15.6527409363815,16.424222839171,10.6549290362359,16.0062275789178,9.39596668383505,0,15.4054767198218,18.8846424473052,22.7442713810627,0,15.0258679556397,0,13.6141881702876,15.9525255608074,0,0,18.4269688680552,20.0119411137096,0,16.6897232788384,15.0643214854149,0,0,18.5688139108913,0,0,0,20.7629916433199,13.2004380245846,12.2415964631569,0,0,20.7192376005309,0,0,0,8.38108426386232,23.0833535229264,15.5886124300106,0,0,20.5140070078748,20.4800701811106,0,0,0,0,18.3481615173694,11.672549038777,0,0,0,0,16.4463013907827,15.5021126178302,15.2490419105348,0,0,0,0,0,16.4912530980483,0,18.246735312181,17.4081369155356,0,15.8351135826745
gene   8,0,0,0,18.660334627983,0,0,0,0,12.8454481768478,24.5087216892043,24.1034664879792,18.524223390845,16.5681362487451,20.0785606256767,17.2416673581364,0,0,24.7682405214649,18.9210023248778,21.3145897955662,0,0,0,0,21.1163045214606,0,14.0904289816229,14.0318210173074,0,0,14.5045103601936,0,0,0,14.8325511901797,12.8824693322393,0,0,19.123318421066,18.832256086505,0,0,0,0,23.4207724574951,0,0,0,0,20.181748157636,18.5436331357694,18.2615749976641,25.1325491268444,0,0,13.8056723985653,0,0,24.5665949255337,22.4875985255461,19.7117169877589,21.9254529693435,25.6120950080163,0,0,0,0,0,0,0,0,0,20.3972289725785,19.0783540111772,0,18.5133560372361,0,21.2280355618338,20.1874962016619,0,20.297326687516,0,17.2863229220944,0,20.1768770875979,21.1084636838135,0,0,22.6096828377834,17.8021236474112,23.1702559970306,0,0,21.2371245720804,0,19.747794682207,0,16.2743521998038,19.6299813938376,0
gene   9,0,0,29.5300954882395,26.0239950302812,0,0,0,0,27.7533412390459,25.9681304181437,24.3174769216231,27.4973033901502,23.8931430391418,0,0,0,0,20.7541840006338,0,0,25.7721107098328,0,0,23.7715772307822,25.636355486177,0,0,22.916722312415,0,20.4476277208792,18.4079396373062,28.7763733581571,24.3952729396282,0,20.6168753477012,22.2924400098523,21.4871229363412,0,0,20.0137280909098,0,26.8570990086255,0,0,0,23.3047120669106,23.3700275351588,21.7247590531076,17.9535665051283,0,0,26.3938950249545,0,24.6070939511351,0,0,0,0,23.35348106834,25.1713337490802,23.8454334840834,28.5256719816357,0,0,0,0,23.3742776086618,0,27.9077177150152,0,24.8242970261555,0,0,23.0003170712462,0,23.020232991939,0,0,31.1708677804288,21.9863124346857,21.8092166515227,24.9052068012141,22.1228653568196,0,0,25.8942304844622,0,0,0,23.3785974933359,0,0,27.1281071639638,25.4343045575838,0,0,0,0,26.5238497165665,21.8558017805876
gene  10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50179960946735,0,0,0,0,0,0,0,0,0,0,0,0,0,9.64882392178211,0,0,0,0,0,0,0,0,0,0,0,0,4.87749320932616,0,0,0,0,4.80167449609616,0,0,0,0,0,0,0,0,0,0,0,0,4.52097609448913,0,0,0,0,0,0,0,0,0,0,0,5.33660758892924,0,0,0,0
gene  11,22.5099537767804,24.4762064068447,0,0,24.9640430741923,19.0617622753831,26.5200502342195,0,0,17.7572250888283,0,26.2404146118902,25.6708919219778,11.3201201269731,0,19.7584710990443,0,23.8716707932236,0,24.5162551645885,0,25.6585267693118,0,27.2491947166203,25.4850097540663,24.2240007389504,26.1744809914481,0,0,27.0853165300573,24.3888222550448,16.8882387433633,0,0,18.8242622602007,24.900196530842,26.3054775550195,15.3241616282327,26.1435481201572,0,0,29.1184400935955,0,0,0,0,26.01744858173,0,22.6690623999595,21.8932925990344,0,0,27.5012695585384,14.375015937243,25.1325607948603,0,0,26.8275731921391,23.0486333178384,31.26978599046,26.8142095928486,28.5256719816357,22.7859337233086,25.6482824320361,0,23.1919315029122,24.4009135005871,25.4473705743186,0,0,26.6713276254006,0,29.1581645666049,23.7320795104232,24.5100732541076,0,24.4322975360907,21.2280355618338,15.7089254114383,26.3629590784978,21.8092166515227,30.0483435207043,0,23.3731073418224,0,14.8147373549571,26.9602368066014,16.2454642970565,23.1326632284969,0,25.8331193434896,0,26.357565807264,24.9970420927269,16.4912530980483,30.567663766605,30.9930925386855,27.1974978966976,14.8923720107438,25.7043368864466
gene  12,11.3995466878303,0,0,0,13.0255466619036,0,16.4448140779941,0,0,12.411767697334,4.82069329759582,0,17.5959372192293,13.1376607480553,0,0,8.69295280148391,0,13.2794922517523,14.33899538216,0,0,5.94109977671011,5.5002250636476,13.1049297013857,16.472115217577,9.4573232045364,0,17.1753113886954,4.90359603921093,9.66967357346237,13.2250421452185,4.23905296679685,6.92029760776496,0,10.6549290362359,0,13.7648423933662,0,17.0167111047146,0,0,0,0,21.0817914120378,12.0570228482647,5.03246151046129,11.5598820880135,0,13.5871340627156,0,0,0,0,0,0,8.74252861054048,7.45919606159058,0,0,4.72711547112738,0,0,18.0734746564077,0,7.73064383430404,0,0,0,12.278066521464,0,0,0,14.9401035651731,10.8444004896547,9.47728408778365,5.13835448787674,14.2915352433233,0,0,0,0,10.2735405222819,0,0,8.36403084666972,12.4770591269759,4.89037204690228,0,0,0,0,8.59940651408548,0,14.3011236376551,0,0,17.9111026844432,10.6095398866266,0
