M01,M02,M03,M04,M05,M06,M07,M08,M09,M010,M011,M012,M013,M014,M015,M016,M017,M018,M019,M020,M021,M022,M023,M024,M025,M026,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M042,M043,M044,M045,M046,M047,M048,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M061,M062,M063,M064,M065,M066,M067,M068,M069,M070,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083,M084,M085,M086,M087,M088,M089,M090,M091,M092,M093,M094,M095,M096,M097,M098,M099,M0100
gene   1,0,0,0.954242509439325,1.20411998265592,0,1.20411998265592,0,1.43136376415899,0,1.07918124604762,1.25527250510331,1.34242268082221,1.30102999566398,0,0.954242509439325,0,1.6232492903979,1.30102999566398,0,0,0,1.07918124604762,0,1.25527250510331,0.954242509439325,1.04139268515822,1.36172783601759,1.27875360095283,1.11394335230684,0.903089986991944,0.954242509439325,0,0,0,0.903089986991944,1.36172783601759,0,0.903089986991944,1,1.27875360095283,1.20411998265592,1.30102999566398,0.954242509439325,0,0,1.51851393987789,1.25527250510331,0,0.778151250383644,0,0,0,0,1.39794000867204,0,1.07918124604762,0,1.38021124171161,0,0,1.14612803567824,1.20411998265592,1.25527250510331,1.14612803567824,0,0,1.32221929473392,1.6232492903979,1.43136376415899,0.954242509439325,1.61278385671974,0,0,1.17609125905568,0.301029995663981,0,0,0,1.04139268515822,1.14612803567824,0,0,1.17609125905568,1.07918124604762,0,0,1.04139268515822,0.698970004336019,0,0,0,0,1.14612803567824,0.778151250383644,0.954242509439325,0,1.23044892137827,0,0,0.301029995663981
gene   2,1.14612803567824,0,0.845098040014257,0,1.07918124604762,0,0,0,0,0.301029995663981,1.20411998265592,1.30102999566398,0,0,0.477121254719662,1.04139268515822,0,0.778151250383644,0,0,0.477121254719662,0.954242509439325,0.477121254719662,0,0,0,0,0.778151250383644,0.954242509439325,0.698970004336019,0.602059991327962,0,0,1.07918124604762,0,0.954242509439325,0,1,0,1.30102999566398,0,0.698970004336019,1,0.477121254719662,1,0,1.07918124604762,0,0.698970004336019,0.477121254719662,0.477121254719662,0.954242509439325,0,0.845098040014257,0,0.301029995663981,0.845098040014257,0,0.301029995663981,0,1.07918124604762,0,0,0,0.845098040014257,1.11394335230684,0,0,0,0.903089986991944,0,0,0,0,0,0.903089986991944,1.14612803567824,0,0,0.477121254719662,0,1.32221929473392,1.04139268515822,0,0,0,1,0,0,0.903089986991944,0.602059991327962,1.20411998265592,0.301029995663981,0,0,0,1.11394335230684,0,0.954242509439325,1.27875360095283
gene   3,2.94890176097021,0,2.98407703390283,0,0,2.99431715266964,3.08278537031645,0,0,0,2.86981820797933,2.93851972517649,3.01452053875792,2.98317507203781,0,2.91434315711944,0,0,2.93601079571521,2.96941591235398,2.74973631556906,2.86213137931304,2.79726754083072,2.82865989653532,0,0,3.02978947083186,2.84323277809801,0,2.91381385238372,0,0,3.07371835034612,2.82151352840477,2.83314711191279,0,2.91698004732038,0,0,3.16166741243774,2.94987770403687,2.97818051693741,0,2.83378437465648,0,3.00518051250378,2.90902085421116,3.11461098423217,2.91169015875386,2.88592633980143,2.64738297011462,2.88536122003151,2.78887511577542,3.10174707394637,0,0,0,2.9484129657786,0,0,2.94497590841205,2.56702636615906,2.79657433321043,2.81424759573192,2.93247376467715,0,2.86391737695786,2.85125834871908,3.00518051250378,0,2.94051648493257,3.03382569395331,0,2.86569605991607,0,0,2.9484129657786,2.84633711212981,2.73319726510657,0,2.98900461569854,0,0,0,0,2.81491318127507,2.97589113640179,2.88761730033574,3.02201573981772,2.99869515831166,2.86510397464113,0,2.81358098856819,0,2.9216864754836,2.86093662070009,0,3.11958577496178,2.82736927305383,2.90955602924118
gene   4,0,0,0,0,0,0,0,0,0,0,0,0.602059991327962,0.301029995663981,0.477121254719662,0.301029995663981,0,0.301029995663981,0,0,0.903089986991944,0,0,0,0,0,0.698970004336019,0,0.477121254719662,0,0,0,0,0,0,0,0.301029995663981,0.301029995663981,0,0.301029995663981,0,0,0,0.602059991327962,0.301029995663981,0.954242509439325,0,0,0.903089986991944,0,0,0,0,0.602059991327962,0.602059991327962,0,0,0,0,0,0.477121254719662,0,0,0,0.778151250383644,0,0,0.301029995663981,0,0,0.301029995663981,0,0,0,0,0.301029995663981,0,0,1,0.602059991327962,0,0,0,0,0,0,0,0,0,0,0,0.477121254719662,0.301029995663981,0,0.301029995663981,0.301029995663981,0.301029995663981,0,0,0,0.477121254719662
gene   5,1.32221929473392,0,0,0,1,0,1.41497334797082,0,0,1.39794000867204,1.44715803134222,1.44715803134222,0,0,0.845098040014257,0,1.50514997831991,0,1,1.39794000867204,1.07918124604762,1.39794000867204,0.602059991327962,1.27875360095283,0,1.17609125905568,1.36172783601759,0,0,1.20411998265592,1.04139268515822,0,1.39794000867204,1.46239799789896,0,0.698970004336019,1.23044892137827,1,0,1.41497334797082,0,1.49136169383427,0,1.30102999566398,1.34242268082221,1.39794000867204,0,1.17609125905568,1.14612803567824,1.20411998265592,1,0.903089986991944,1.11394335230684,1.04139268515822,1.34242268082221,0.903089986991944,1.32221929473392,0,1.73239375982297,0,0,0.778151250383644,0,0,1.50514997831991,1.63346845557959,0,1.25527250510331,0,0,1.14612803567824,0,0,0,1.32221929473392,0,0,0,1,0,1.11394335230684,0,1.38021124171161,0,0,1.34242268082221,1.44715803134222,1.46239799789896,1.30102999566398,0,0,0,1.20411998265592,0,1.30102999566398,1.41497334797082,1.11394335230684,0,0,1.51851393987789
gene   6,2.3541084391474,2.26717172840301,2.40312052117582,0,2.34439227368511,0,2.34439227368511,0,2.45788189673399,2.24303804868629,2.36172783601759,2.38201704257487,2.45636603312904,2.39093510710338,2.04532297878666,2.4456042032736,0,0,0,0,2.30102999566398,2.32837960343874,2.12710479836481,2.16731733474818,0,2.3096301674259,2.42813479402879,0,2.19033169817029,0,2.19312459835446,2.41995574848976,2.51188336097887,2.42324587393681,2.20951501454263,0,2.34044411484012,2.13353890837022,0,0,2.48429983934679,2.38738982633873,2.31386722036915,0,2.41664050733828,2.60205999132796,2.33645973384853,2.67577834167409,2.40483371661994,2.26007138798507,2.22010808804005,0,0,0,0,2.15533603746506,2.47129171105894,2.45331834004704,0,0,0,0,0,0,2.2148438480477,0,0,2.40993312333129,2.38738982633873,2.2718416065365,0,2.63848925695464,2.35793484700045,0,2.41664050733828,0,0,2.34242268082221,2.27875360095283,2.39967372148104,0,0,0,2.48713837547719,0,0,0,2.23299611039215,2.44404479591808,2.4456042032736,2.51982799377572,0,2.2405492482826,0,2.2148438480477,2.28330122870355,0,2.3384564936046,2.31806333496276,2.38201704257487
gene   7,0,0.698970004336019,0,0,0,0,0,0,0,0,0.698970004336019,0,0,0,0,1.17609125905568,1.25527250510331,0.954242509439325,1.07918124604762,0.903089986991944,0.698970004336019,1.20411998265592,0.698970004336019,0,1.23044892137827,0.845098040014257,1.34242268082221,0.954242509439325,0.954242509439325,0,0,0,0,1.07918124604762,1,0.698970004336019,1,0.477121254719662,0,1.11394335230684,1.25527250510331,1.43136376415899,0,0.845098040014257,0,0.954242509439325,0.954242509439325,0,0,1.14612803567824,1.07918124604762,0,1.04139268515822,1,0,0,1.27875360095283,0,0,0,1.32221929473392,0.602059991327962,0.698970004336019,0,0,1.27875360095283,0,0,0,0.477121254719662,1.44715803134222,1.04139268515822,0,0,1.32221929473392,1.30102999566398,0,0,0,0,1.17609125905568,0.698970004336019,0,0,0,0,1.11394335230684,0.954242509439325,1.04139268515822,0,0,0,0,0,1.04139268515822,0,1.11394335230684,1.11394335230684,0,1
gene   8,0,0,0,1.23044892137827,0,0,0,0,0.778151250383644,1.38021124171161,1.50514997831991,1.25527250510331,1.07918124604762,1.38021124171161,1.04139268515822,0,0,1.60205999132796,1.20411998265592,1.34242268082221,0,0,0,0,1.36172783601759,0,1.04139268515822,0.845098040014257,0,0,0.903089986991944,0,0,0,0.903089986991944,0.845098040014257,0,0,1.27875360095283,1.36172783601759,0,0,0,0,1.49136169383427,0,0,0,0,1.25527250510331,1,1.04139268515822,1.56820172406699,0,0,0.698970004336019,0,0,1.70757017609794,1.27875360095283,1.25527250510331,1,1.46239799789896,0,0,0,0,0,0,0,0,0,1.17609125905568,1.07918124604762,0,1.17609125905568,0,1.25527250510331,1,0,1.30102999566398,0,1.17609125905568,0,1.32221929473392,1.20411998265592,0,0,1.54406804435028,1.14612803567824,1.49136169383427,0,0,1.27875360095283,0,1.11394335230684,0,1.04139268515822,1.11394335230684,0
gene   9,0,0,1.75587485567249,1.7160033436348,0,0,0,0,1.68124123737559,1.46239799789896,1.51851393987789,1.86332286012046,1.55630250076729,0,0,0,0,1.34242268082221,0,0,1.27875360095283,0,0,1.30102999566398,1.65321251377534,0,0,1.38021124171161,0,1.25527250510331,1.14612803567824,1.83884909073726,1.73239375982297,0,1.25527250510331,1.46239799789896,1.34242268082221,0,0,1.44715803134222,0,1.69019608002851,0,0,0,1.63346845557959,1.39794000867204,1.46239799789896,1.14612803567824,0,0,1.50514997831991,0,1.63346845557959,0,0,0,0,1.6232492903979,1.43136376415899,1.51851393987789,1.30102999566398,0,0,0,0,1.41497334797082,0,1.7481880270062,0,1.55630250076729,0,0,1.30102999566398,0,1.46239799789896,0,0,1.54406804435028,1.25527250510331,1.39794000867204,1.49136169383427,1.50514997831991,0,0,1.47712125471966,0,0,0,1.50514997831991,0,0,1.50514997831991,1.53147891704226,0,0,0,0,1.50514997831991,1.38021124171161
gene  10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029995663981,0,0,0,0,0,0,0,0,0,0,0,0,0,0.602059991327962,0,0,0,0,0,0,0,0,0,0,0,0,0.301029995663981,0,0,0,0,0.301029995663981,0,0,0,0,0,0,0,0,0,0,0,0,0.301029995663981,0,0,0,0,0,0,0,0,0,0,0,0.301029995663981,0,0,0,0
gene  11,1.38021124171161,1.32221929473392,0,0,1.49136169383427,1.20411998265592,1.74036268949424,0,0,1,0,1.77815125038364,1.67209785793572,0.778151250383644,0,1.25527250510331,0,1.54406804435028,0,1.54406804435028,0,1.57978359661681,0,1.49136169383427,1.64345267648619,1.53147891704226,1.93449845124357,0,0,1.66275783168157,1.51851393987789,1.07918124604762,0,0,1.14612803567824,1.63346845557959,1.64345267648619,0.778151250383644,1.7481880270062,0,0,1.83250891270624,0,0,0,0,1.55630250076729,0,1.44715803134222,1.36172783601759,0,0,1.7160033436348,0.954242509439325,1.47712125471966,0,0,1.7160033436348,1.60205999132796,1.77815125038364,1.70757017609794,1.30102999566398,1.30102999566398,1.53147891704226,0,1.43136376415899,1.47712125471966,1.57978359661681,0,0,1.67209785793572,0,1.68124123737559,1.34242268082221,1.57978359661681,0,1.43136376415899,1.25527250510331,0.778151250383644,1.50514997831991,1.39794000867204,1.79934054945358,0,1.55630250076729,0,0.845098040014257,1.82607480270083,1,1.57978359661681,0,1.66275783168157,0,1.46239799789896,1.50514997831991,1.04139268515822,1.72427586960079,1.89209460269048,1.74036268949424,0.845098040014257,1.6232492903979
gene  12,0.698970004336019,0,0,0,0.778151250383644,0,1.07918124604762,0,0,0.698970004336019,0.301029995663981,0,1.14612803567824,0.903089986991944,0,0,0.602059991327962,0,0.845098040014257,0.903089986991944,0,0,0.301029995663981,0.301029995663981,0.845098040014257,1.04139268515822,0.698970004336019,0,0.903089986991944,0.301029995663981,0.602059991327962,0.845098040014257,0.301029995663981,0.477121254719662,0,0.698970004336019,0,0.698970004336019,0,1.23044892137827,0,0,0,0,1.34242268082221,0.845098040014257,0.301029995663981,0.778151250383644,0,0.845098040014257,0,0,0,0,0,0,0.602059991327962,0.477121254719662,0,0,0.301029995663981,0,0,1.07918124604762,0,0.477121254719662,0,0,0,0.698970004336019,0,0,0,0.845098040014257,0.698970004336019,0.602059991327962,0.301029995663981,0.845098040014257,0,0,0,0,0.698970004336019,0,0,0.477121254719662,0.845098040014257,0.301029995663981,0,0,0,0,0.477121254719662,0,0.903089986991944,0,0,1.14612803567824,0.602059991327962,0
